id,question,option1,option2,option3,option4,answer,exam_id
1,What is the capital of France?,Paris,Berlin,Madrid,Rome,1,1
2,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,1,1
3,What is 2+2?,3,4,5,6,2,1
4,Who wrote Romeo and Juliet?,Shakespeare,Marlowe,Jonson,Webster,1,1
5,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,1,1
6,In which year did World War II end?,1945,1944,1946,1947,1,1
7,What is the chemical symbol for Gold?,Au,Ag,Cu,Fe,1,1
8,How many continents are there?,7,6,5,8,1,1
9,What is the square root of 144?,12,11,13,10,1,1
10,Which is the smallest prime number?,2,1,3,4,1,1
